Bronze,,Silver,,,,,,,,
item_type,xpath,enriched_table,column_name,datatype,nullable,default,Key,Remark,curated_mapping,transforamtion
,,cdw_asset,id,IntegerType,FALSE,,SK,,,
cmfAsset,/list/cmfAsset/validatedAsset/assetName,cdw_asset,asset_name,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/assetName/@BOND_TYPE,cdw_asset,bond_type,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/assetName/@CURRENT_NOMINAL,cdw_asset,current_nominal,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/assetName/@CURRENT_NOMINAL,cdw_asset,current_issuance,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/assetName/@DENOMINATION_CURRENCY,cdw_asset,asset_currency_iso,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/assetName/@ISSUE_DATE,cdw_asset,issue_date,DateType,TRUE,,,Initial effective start date,,
cmfAsset,/list/cmfAsset/validatedAsset/assetName/@ISSUE_NOMINAL,cdw_asset,issue_size,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/assetName/@ISSUE_PRICE,cdw_asset,issue_price,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/assetName/@ISSUE_STATUS,cdw_asset,issue_status,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/assetName/@MATURITY_DATE,cdw_asset,maturity_date,DateType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/assetName/@MIN_DENOM,cdw_asset,minimum_piece_amount,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/assetName/@SUBTYPE,cdw_asset,asset_subtype,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/assetName/@TYPE,cdw_asset,asset_type,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/identifiers/identifier[@TYPE='BB8CHR'],cdw_asset,id_bb8chr,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/identifiers/identifier[@TYPE='BBERG'],cdw_asset,id_bberg,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/identifiers/identifier[@TYPE='BBGLOBAL'],cdw_asset,bb_global,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/identifiers/identifier[@TYPE='CUSIP'],cdw_asset,id_cusip,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/identifiers/identifier[@TYPE='ISIN'],cdw_asset,id_isin,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/identifiers/identifier[@TYPE='MIZUHO'],cdw_asset,id_mizuho,StringType,FALSE,,PK,,,
cmfAsset,/list/cmfAsset/validatedAsset/identifiers/identifier[@TYPE='WSOLXIDN'],cdw_asset,id_wso,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/@COUNTRY,cdw_asset,listing_country_iso,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/@CURRENCY,cdw_asset,listing_currency_iso,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/@MIC,cdw_asset,listing_mic_iso,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/@LISTING_STATUS,cdw_asset,listing_status,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/@MHI_DEFAULT_LISTING,cdw_asset,is_mhi_default_listing,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/@PRIMARY,cdw_asset,is_primary_listing,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/@ROUND_LOT_SIZE,cdw_asset,lot_size,IntegerType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/hqla/@BASEL_III_ELIGIBILITY,cdw_asset,basel_3_eligibility,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/hqla/@EU_ELIGIBILITY,cdw_asset,eu_eligibility,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/hqla/@JP_ELIGIBILITY,cdw_asset,jp_eligibility,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/listingIdentifier[@TYPE='MHILIST'],cdw_asset,mhi_listing_ref,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/listingIdentifier[@TYPE='SECREF'],cdw_asset,sec_ref_literal,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/listingIdentifier[@TYPE='SEDOL'],cdw_asset,id_sedol,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/issueListing[1]/listingIdentifier[@TYPE='STRATUS_SECREF'],cdw_asset,stratus_sec_ref,StringType,TRUE,,,,,
cmfAsset,"/list/cmfAsset/validatedAsset/issueListing[1]/listingIdentifier[@TYPE=""TICKER""]",cdw_asset,id_ticker,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/geoUnitIdCode[@GEO_UNIT_TYPE='Country' and @GEO_UNIT_RELATIONSHIP='Incorporation' and @IDENTIFIER_TYPE='ISO2'],cdw_asset,country_incorporation_iso,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/geoUnitIdCode[@GEO_UNIT_TYPE='Country' and @GEO_UNIT_RELATIONSHIP='Residence' and @IDENTIFIER_TYPE='ISO2'],cdw_asset,country_residence_iso,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/geoUnitIdCode[@GEO_UNIT_TYPE='Country' and @GEO_UNIT_RELATIONSHIP='Risk' and @IDENTIFIER_TYPE='ISO2'],cdw_asset,country_risk_iso,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/rating[@GROUP_NAME='Derived Ratings' and @SCHEME='Basel II Asset Rating Standard'],cdw_asset,d_rating_ecai,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/rating[@GROUP_NAME='Derived Ratings' and @SCHEME='Derived Fitch'],cdw_asset,d_rating_fitch,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/rating[@GROUP_NAME='Derived Ratings' and @SCHEME='Derived Internal Rating']  ,cdw_asset,d_rating_manual,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/rating[@GROUP_NAME='Derived Ratings' and @SCHEME='Derived Internal Rating']/@START_DATE,cdw_asset,rating_manual_date,DateType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/rating[@GROUP_NAME='Derived Ratings' and @SCHEME='Derived JCR'],cdw_asset,d_rating_jcr,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/rating[@GROUP_NAME='Derived Ratings' and @SCHEME='Derived Moodys'],cdw_asset,d_rating_moodys,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/rating[@GROUP_NAME='Derived Ratings' and @SCHEME='Derived Policy']  ,cdw_asset,d_rating_internal,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/rating[@GROUP_NAME='Derived Ratings' and @SCHEME='Derived SandP'],cdw_asset,d_rating_sandp,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/group[@PARENT_GROUP_NAME='Collateral Type' and text()='GOVT GUARANTEED'],cdw_asset,govt_guaranteed,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/group[@PARENT_GROUP_NAME='Collateral Type' and text()='Guaranteed: Govt'],cdw_asset,bbg_govt_guaranteed,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/group[@PARENT_GROUP_NAME='Collateral Type' and text()='Guaranteed: Local Govt'],cdw_asset,bbg_local_govt_guaranteed,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/group[@PARENT_GROUP_NAME='Collateral Type' and text()='Subordinated'],cdw_asset,subordinated,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/group[@PARENT_GROUP_NAME='Foreign Currency'],cdw_asset,foreign_currency,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/relatedAsset[@RELATION_TYPE='CreditLinked']/identifiers/identifier[@TYPE='MHILIST'],cdw_asset,related_asset,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/incomeDetail/couponDetail/@COUPON_TYPE,cdw_asset,coupon_type,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/incomeDetail/couponDetail/@COUPON_TYPE,cdw_asset,zero_cpn,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/incomeDetail/couponDetail/@PIK_TOGGLE_INDICATOR,cdw_asset,pik_indicator,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/incomeDetail/couponDetail/couponTerm/@ACCRUAL_DATE_FREQ_NUM,cdw_asset,coupon_frequency,IntegerType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/incomeDetail/couponDetail/couponTerm/@ACCRUAL_DATE_FREQ_UNIT,cdw_asset,coupon_frequency_unit,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/incomeDetail/couponDetail/couponTerm/couponSchedule[1]/@COUPON_RATE,cdw_asset,cpn,DecimalType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@CALLABLE_BY_HOLDER,cdw_asset,callable_by_holder,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@CALLABLE_BY_ISSUER,cdw_asset,callable_by_issuer,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@CONTINGENT_MODE,cdw_asset,is_contingent,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@CONVERTIBLE,cdw_asset,is_convertible,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@CPI_INDEX_RATIO,cdw_asset,cpi_index_ratio,DecimalType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@NEXT_CALL_DATE,cdw_asset,next_call_date,DateType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@PERPETUAL,cdw_asset,perpetual,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@PRIMARY_COLLATERAL,cdw_asset,primary_collateral,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@RANKING_SENIORITY,cdw_asset,ranking_seniority,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/@QUOTE_TYPE,cdw_asset,quote_type,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/principalEvent [@PRINCIPAL_EVENT_TYPE='Conversion']/principalEventTerm/eventSchedule/@AMOUNT,cdw_asset,bq_face_amt,DecimalType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/principalEvent[@PRINCIPAL_EVENT_TYPE='Conversion']/principalEventTerm/@FIXED_RATE,cdw_asset,conversion_price,DecimalType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/principalEvent[@PRINCIPAL_EVENT_TYPE='Conversion']/principalEventTerm/principalRelation[@RELATIONSHIP_DESCRIPTION='Converts to']/@RELATIONSHIP_AMT,cdw_asset,conversion_ratio,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/principalDetail/principalEvent[@PRINCIPAL_EVENT_TYPE='Conversion']/principalEventTerm/principalRelation[@RELATIONSHIP_DESCRIPTION='Converts to']/identifiers/identifier[@TYPE='MHILIST'][last()],cdw_asset,converts_to,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/contractDetails/ctdBond/identifier[@TYPE='ISIN'],cdw_asset,ctd_bond,StringType,TRUE,,,,,
cmfAsset,/list/cmfAsset/validatedAsset/contractDetails/ctdBonds/identifier[@TYPE='ISIN'],cdw_asset,ctd_pool_asset,StringType,TRUE,,,,,
,,cdw_asset,business_date,DateType,FALSE,,,event_date,,
,,cdw_asset,insert_date,TimestampType,FALSE,,,,,
,,cdw_asset,update_date,TimestampType,FALSE,,,,,
,,cdw_asset,effective_from_date,DateType,FALSE,,,,,
,,cdw_asset,effective_to_date,DateType,FALSE,,,,,
,,cdw_asset,is_active,BooleanType,FALSE,,,,,
,,cdw_legal_entity,id,IntegerType,FALSE,,SK,,,
legalEntity,/list/legalEntity/identifier[@name='legalEntityId'],cdw_legal_entity,legal_entity_id,StringType,FALSE,,PK,,,
legalEntity,/list/legalEntity/createdDateTime,cdw_legal_entity,created_date_time,DateType,FALSE,,,,,
legalEntity,/list/legalEntity/identifier[@name='shortName'],cdw_legal_entity,short_name,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/identifier[@name='longName'],cdw_legal_entity,long_name,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/identifier[@name='bloombergCompanyName'],cdw_legal_entity,bbg_name,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/identifier[@name='BBCMPYID'],cdw_legal_entity,bbcmpyid,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/identifier[@name='CLIENTREF'],cdw_legal_entity,client_ref,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/identifier[@name='GROUPREF'],cdw_legal_entity,group_ref,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLegalEntity[@relationship='riskUltimateParent']/identifier[@name='longName'],cdw_legal_entity,ultimate_parent_long_name,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLegalEntity[@relationship='riskUltimateParent']/identifier[@name='CLIENTREF'],cdw_legal_entity,ultimate_parent_client_ref,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLegalEntity[@relationship='riskImmediateParent']/identifier[@name='longName'],cdw_legal_entity,immediate_parent_long_name,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLegalEntity[@relationship='riskImmediateParent']/identifier[@name='CLIENTREF'],cdw_legal_entity,immediate_parent_client_ref,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLocation[@idScheme='ISO2'][@type='country'][@relationship='Incorporation'],cdw_legal_entity,country_incorporation,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLocation[@idScheme='ISO2'][@type='country'][@relationship='Risk'],cdw_legal_entity,country_risk,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLocation[@idScheme='ISO2'][@type='country'][@relationship='Residence'],cdw_legal_entity,country_residence,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/creditRating[@name='derivedPartyPolicy'],cdw_legal_entity,manual_rating,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/classification[@scheme='gicsCode'],cdw_legal_entity,gics_code,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/clientRole/classification[@scheme='customerStatus'],cdw_legal_entity,status,StringType,TRUE,,,,,
,,cdw_legal_entity,business_date,DateType,FALSE,,,,,
,,cdw_legal_entity,insert_date,TimestampType,FALSE,,,,,
,,cdw_legal_entity,update_date,TimestampType,FALSE,,,,,
,,cdw_legal_entity,effective_from_date,DateType,FALSE,,,,,
,,cdw_legal_entity,effective_to_date,DateType,FALSE,,,,,
,,cdw_legal_entity,is_active,BooleanType,FALSE,,,,,
